HandRight X=0.08  Y=0.16  Z=1043.95  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.01  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.06  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.11  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.16  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.21  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.27  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.32  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.39  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.46  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.54  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.64  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.74  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.84  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1044.94  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1045.04  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1045.15  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1045.27  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1045.40  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1045.53  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1045.67  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1045.82  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1046.04  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1046.38  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1046.83  | convert 0.6 0.7 
HandRight X=0.08  Y=0.16  Z=1047.16  | convert 0.6 0.7 
HandRight X=0.08  Y=0.17  Z=1047.14  | convert 0.6 0.7 
HandRight X=0.08  Y=0.17  Z=1046.95  | convert 0.6 0.7 
HandRight X=0.08  Y=0.17  Z=1046.71  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1046.45  | convert 0.6 0.7 
